epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,16170.2,1.14921,0.87919,1.08747,0.65683,0.49291,0.54885,0.36729,1.08767,0.83786,1.05679,0.002674,0.002674,0.002674
76,17003.4,1.13745,0.87012,1.08419,0.66377,0.49325,0.54677,0.36589,1.08402,0.83701,1.0552,0.002575,0.002575,0.002575
77,17976,1.13944,0.86732,1.08409,0.61444,0.51378,0.54827,0.36789,1.08334,0.83343,1.0555,0.002476,0.002476,0.002476
78,19085.4,1.13456,0.85417,1.08019,0.62731,0.51966,0.5529,0.36813,1.08237,0.83135,1.05474,0.002377,0.002377,0.002377
79,20027.6,1.12898,0.85452,1.07959,0.64943,0.51436,0.55616,0.37369,1.08254,0.83186,1.05496,0.002278,0.002278,0.002278
80,21065.4,1.12568,0.84781,1.0761,0.64873,0.50558,0.55722,0.37486,1.08191,0.82948,1.05433,0.002179,0.002179,0.002179
81,21991.7,1.12025,0.83689,1.07239,0.62108,0.53417,0.55692,0.3751,1.0821,0.82762,1.05433,0.00208,0.00208,0.00208
82,22850.1,1.11552,0.83028,1.06839,0.61899,0.53073,0.55699,0.37511,1.08209,0.82514,1.05376,0.001981,0.001981,0.001981
83,23823.8,1.10647,0.82081,1.06694,0.6354,0.52766,0.55991,0.37836,1.08142,0.82284,1.05317,0.001882,0.001882,0.001882
84,24871.8,1.10197,0.81809,1.06393,0.63995,0.51764,0.55743,0.37701,1.08105,0.82216,1.05294,0.001783,0.001783,0.001783
85,25983.3,1.10379,0.8149,1.0646,0.65001,0.52375,0.5587,0.37833,1.08038,0.82002,1.05255,0.001684,0.001684,0.001684
86,26966.7,1.09766,0.80788,1.06135,0.67064,0.51393,0.55847,0.37855,1.07989,0.8181,1.05205,0.001585,0.001585,0.001585
87,27806.6,1.09354,0.79922,1.05847,0.66919,0.51249,0.56004,0.37974,1.07965,0.81632,1.05193,0.001486,0.001486,0.001486
88,28644.1,1.09298,0.79671,1.05612,0.65677,0.51419,0.55913,0.37997,1.07896,0.81494,1.05127,0.001387,0.001387,0.001387
89,29480.1,1.08284,0.78974,1.05258,0.66164,0.52088,0.55851,0.38014,1.07933,0.814,1.05117,0.001288,0.001288,0.001288
90,30314.9,1.08477,0.7879,1.05163,0.6661,0.52471,0.55938,0.37981,1.0787,0.81261,1.05057,0.001189,0.001189,0.001189
